,A,B,C,D,E,F,G,H,I,J,K,L,anzahl_ges,gitter_id
0,,,,,3.0,,,,,,,,3.0,100mN27913E44428
1,,,3.0,,,,,,,,,,3.0,100mN27918E44429
2,,,,,4.0,,,,,,,,4.0,100mN27921E44428
3,,3.0,,,6.0,,,3.0,3.0,3.0,,,18.0,100mN27921E44429
4,,,,,4.0,,,3.0,,,,,7.0,100mN27921E44430
5,,,,,3.0,,,,,,,,3.0,100mN27922E44429
6,,,,,7.0,,,,,,,,7.0,100mN27923E44429
7,,3.0,3.0,,,,,,,,,,6.0,100mN27924E44429
8,,,,,3.0,,,,,,,,3.0,100mN27924E44430
9,,,,,3.0,,,,,,,,3.0,100mN27927E44434
10,,,3.0,,,,,,,,,,3.0,100mN27930E44430
11,,,,,5.0,,,3.0,,,,,8.0,100mN27931E44431
12,,,,,3.0,,,,,,,,3.0,100mN27932E44441
13,,,,,5.0,,,,,,,,5.0,100mN27933E44434
14,,,,,3.0,,,,3.0,,,,6.0,100mN27933E44435
15,,,,,3.0,,,,,,,,3.0,100mN27933E44436
16,,,,,18.0,,,,,,,,18.0,100mN27933E44437
17,,,,,20.0,,,,,,,,20.0,100mN27933E44438
18,,,,,19.0,,,3.0,,,,,22.0,100mN27933E44439
19,,,,,8.0,,,5.0,,,,,13.0,100mN27933E44440
20,,,,,19.0,,,,,,,,19.0,100mN27933E44441
21,,,,,3.0,,,,,,,,3.0,100mN27933E44442
22,,,,,8.0,,,,,,,,8.0,100mN27934E44432
23,,,,,5.0,,,4.0,,,,,9.0,100mN27934E44433
24,,,,,16.0,,,,,,,,16.0,100mN27934E44434
25,,,,,12.0,,,4.0,3.0,,3.0,,22.0,100mN27934E44435
26,,,,,14.0,,,3.0,,,,,17.0,100mN27934E44436
27,,,,,5.0,,,,,,,,5.0,100mN27934E44437
28,,,,,9.0,,,,,,,,9.0,100mN27934E44438
29,,,,,64.0,,,,,,,,64.0,100mN27934E44439
30,,,,,4.0,,,3.0,,,,,7.0,100mN27934E44440
31,,,,,7.0,,,,,,,,7.0,100mN27934E44441
32,,,,,11.0,,,,,,,,11.0,100mN27934E44442
33,,,,,7.0,,,,,,,,7.0,100mN27935E44431
34,,,,,4.0,,,3.0,4.0,,,,11.0,100mN27935E44432
35,,,,,20.0,,,3.0,,,,,23.0,100mN27935E44433
36,,,,,3.0,,,5.0,8.0,3.0,,,19.0,100mN27935E44434
37,,,,,3.0,,,,3.0,,,,6.0,100mN27935E44435
38,,,,,7.0,,,,3.0,3.0,,,13.0,100mN27935E44436
39,,,,,13.0,,,,4.0,,,,17.0,100mN27935E44437
40,,,,,5.0,,,3.0,,,,,8.0,100mN27935E44438
41,,,,,5.0,,,,,,,,5.0,100mN27935E44439
42,,,,,29.0,,,,,,,,29.0,100mN27935E44440
43,,,,,34.0,,,,,,,,34.0,100mN27935E44441
44,,3.0,,,14.0,,,,,,,,17.0,100mN27935E44442
45,,,,,3.0,,,,4.0,,,,7.0,100mN27936E44431
46,,,,,12.0,,,,3.0,,,,15.0,100mN27936E44432
47,,,,,3.0,,,,,8.0,,,11.0,100mN27936E44433
48,,,,,6.0,,,,,6.0,,,12.0,100mN27936E44434
49,,,,,9.0,,,5.0,4.0,,,,18.0,100mN27936E44435
50,,,,,6.0,,,,,,,,6.0,100mN27936E44436
51,,,,,7.0,,,,,,,,7.0,100mN27936E44437
52,,,,,6.0,,,,,,,,6.0,100mN27936E44438
53,,,,,88.0,,,3.0,,,,,91.0,100mN27936E44439
54,,,,,,,,,,,4.0,,4.0,100mN27936E44440
55,,,,,9.0,,,,,,,,9.0,100mN27937E44408
56,,,,,41.0,,,,,5.0,,,46.0,100mN27937E44409
57,,,,,6.0,,,,,7.0,,,13.0,100mN27937E44410
58,,,3.0,,5.0,,,3.0,,,,,11.0,100mN27937E44431
59,,,,,10.0,,,3.0,10.0,,,,23.0,100mN27937E44432
60,,,,,3.0,,,7.0,32.0,,,,42.0,100mN27937E44433
61,,,,,22.0,,,,,,,,22.0,100mN27937E44434
62,,,,,7.0,,,3.0,5.0,,,,15.0,100mN27937E44435
63,,,,,3.0,,,4.0,18.0,,,,25.0,100mN27937E44436
64,,,,,20.0,,,,,,,,20.0,100mN27937E44437
65,,,,,20.0,,,,,,,,20.0,100mN27937E44438
66,,,,,46.0,,,,,,,,46.0,100mN27937E44439
67,,,,,,,,,,15.0,23.0,,38.0,100mN27937E44440
68,,,,,,,,,9.0,,,,9.0,100mN27937E44441
69,,,,,4.0,,,,,,,,4.0,100mN27938E44405
70,,,,,4.0,,,,,3.0,,,7.0,100mN27938E44406
71,,,,,48.0,,,,,,,,48.0,100mN27938E44407
72,,,,,48.0,,,,7.0,,,,55.0,100mN27938E44408
73,,,,,67.0,,,,,,,,67.0,100mN27938E44409
74,,,,,6.0,,,4.0,,,,,10.0,100mN27938E44431
75,,,,,5.0,,,,4.0,,,,9.0,100mN27938E44432
76,,,,,20.0,,,,,,,,20.0,100mN27938E44433
77,,,3.0,,4.0,,,12.0,,,,,19.0,100mN27938E44434
78,,,,,3.0,,,4.0,3.0,3.0,,,13.0,100mN27938E44435
79,,,,,26.0,,,12.0,3.0,,,,41.0,100mN27938E44436
80,,,,,,,,,,,34.0,,34.0,100mN27938E44439
81,,,,,,,,,,21.0,13.0,,34.0,100mN27938E44440
82,,,,,3.0,,,,6.0,5.0,3.0,,17.0,100mN27938E44441
83,,,,,3.0,,,,,,,,3.0,100mN27938E44442
84,,,,,3.0,,,,,,,,3.0,100mN27939E44403
85,,,,,3.0,,,,,,3.0,,6.0,100mN27939E44405
86,,,,,15.0,,,4.0,,,,,19.0,100mN27939E44406
87,,,,,3.0,,,,,,,,3.0,100mN27939E44407
88,,,,,52.0,,,,,,,,52.0,100mN27939E44408
89,,,,,13.0,,,,,,,,13.0,100mN27939E44409
90,,,,,3.0,,,,,,,,3.0,100mN27939E44419
91,,,,,5.0,,,,6.0,,,,11.0,100mN27939E44431
92,,,,,4.0,,,3.0,3.0,,,,10.0,100mN27939E44432
93,,,,,3.0,,,,,,,,3.0,100mN27939E44433
94,,,,,17.0,,,,3.0,3.0,8.0,,31.0,100mN27939E44434
95,,,,,7.0,,,,,,11.0,,18.0,100mN27939E44435
96,,,,,14.0,,,8.0,3.0,,,,25.0,100mN27939E44436
97,,,,,12.0,,,,,,,,12.0,100mN27939E44437
98,,,,,,,,,,5.0,12.0,,17.0,100mN27939E44439
99,,,,,3.0,,,,3.0,8.0,,,14.0,100mN27939E44440
100,,,,,3.0,,,3.0,,,,,6.0,100mN27939E44441
101,,,,,4.0,,,,,,,,4.0,100mN27939E44444
102,,,,,3.0,,,,,,,,3.0,100mN27940E44403
103,,,,,56.0,,,,,,,,56.0,100mN27940E44404
104,,,,,3.0,,,,3.0,,,,6.0,100mN27940E44405
105,,,,,7.0,,,9.0,3.0,,,,19.0,100mN27940E44406
106,,,,,4.0,,,10.0,,,,,14.0,100mN27940E44407
107,,,,,,,,4.0,,,,,4.0,100mN27940E44414
108,,,,,24.0,,,,,,,,24.0,100mN27940E44417
109,,,,,3.0,,,,,,,,3.0,100mN27940E44420
110,,,,,3.0,,,,,,,,3.0,100mN27940E44421
111,,,,,3.0,,,,,,,,3.0,100mN27940E44432
112,,,,,7.0,,,,,,,,7.0,100mN27940E44433
113,,,,,3.0,,,,,,,,3.0,100mN27940E44434
114,,,,,3.0,,,,6.0,,,,9.0,100mN27940E44435
115,,,,,8.0,,,,12.0,6.0,,,26.0,100mN27940E44436
116,,,,,34.0,,,,,,,,34.0,100mN27940E44438
117,,,,,15.0,,,,,,,,15.0,100mN27940E44439
118,,,,,5.0,,,,,3.0,,,8.0,100mN27940E44440
119,,,,,7.0,,,,3.0,,,,10.0,100mN27941E44403
120,,,,,4.0,,,,3.0,,,,7.0,100mN27941E44404
121,,,,,,,,,28.0,4.0,,,32.0,100mN27941E44405
122,,,,,,,,7.0,19.0,5.0,5.0,,36.0,100mN27941E44406
123,,,,,,,,7.0,,5.0,22.0,,34.0,100mN27941E44407
124,,,,,,,,,3.0,3.0,,,6.0,100mN27941E44408
125,,,,,3.0,,,,,,,,3.0,100mN27941E44430
126,,,,,6.0,,,3.0,,3.0,,,12.0,100mN27941E44435
127,,3.0,,,4.0,,,11.0,10.0,6.0,,,34.0,100mN27941E44436
128,,,,,3.0,,,8.0,,,,,11.0,100mN27941E44437
129,,,3.0,,28.0,,,,,,,,31.0,100mN27941E44438
130,,,3.0,,18.0,,,,,12.0,,,33.0,100mN27941E44439
131,,,,,4.0,,,3.0,,7.0,,,14.0,100mN27941E44440
132,,,,,,,,,5.0,6.0,3.0,,14.0,100mN27942E44407
133,,,,,5.0,,,,,,,,5.0,100mN27942E44418
134,,,,,17.0,,,,4.0,4.0,3.0,,28.0,100mN27942E44428
135,,,,,13.0,,,,,8.0,,,21.0,100mN27942E44429
136,,,,,14.0,,,4.0,,,,,18.0,100mN27942E44430
137,,,,,,,,3.0,,23.0,,,26.0,100mN27942E44431
138,,,,,,,,5.0,,,,,5.0,100mN27942E44432
139,,,,,32.0,,,,6.0,,,,38.0,100mN27942E44433
140,,,,,68.0,,,,18.0,,,,86.0,100mN27942E44434
141,,,,,22.0,,,3.0,14.0,3.0,,,42.0,100mN27942E44435
142,,3.0,,,17.0,,,3.0,7.0,,,,30.0,100mN27942E44436
143,,,,,3.0,,,8.0,,,,,11.0,100mN27942E44437
144,,,,,3.0,,,,,,,,3.0,100mN27942E44438
145,,,,,23.0,,,4.0,,,,,27.0,100mN27942E44439
146,,,,,3.0,,,,5.0,,,,8.0,100mN27942E44440
147,,,,,3.0,,,,,,,,3.0,100mN27942E44441
148,,,,,3.0,,,,,,,,3.0,100mN27943E44404
149,,,,,,,,,3.0,,,,3.0,100mN27943E44414
150,,,,,8.0,,,,23.0,,,,31.0,100mN27943E44427
151,,,,,4.0,,,,3.0,,,,7.0,100mN27943E44428
152,,,3.0,,3.0,,,,,3.0,,,9.0,100mN27943E44429
153,,,,,36.0,,,,4.0,,,,40.0,100mN27943E44433
154,,,,,18.0,,,8.0,5.0,,,,31.0,100mN27943E44434
155,,,,,41.0,,,,,,,,41.0,100mN27943E44436
156,,3.0,,,4.0,,,,,,,,7.0,100mN27943E44437
157,,3.0,,,3.0,,,,,,,,6.0,100mN27943E44438
158,,,,,,,,,9.0,,,,9.0,100mN27943E44439
159,,,,,,,,,20.0,,,,20.0,100mN27943E44440
160,,,,,72.0,,,,,,,,72.0,100mN27944E44433
161,,,,,18.0,,,29.0,,,,,47.0,100mN27944E44434
162,,,,,,,,40.0,,,,,40.0,100mN27944E44435
163,,,,,35.0,,,,5.0,,,,40.0,100mN27944E44436
164,,,,,39.0,,,,,,,,39.0,100mN27944E44437
165,,,,,3.0,,,,,,,,3.0,100mN27944E44438
166,,3.0,,,4.0,,,,,,,,7.0,100mN27944E44439
167,,,,,15.0,,,,,,,,15.0,100mN27944E44440
168,,,,,5.0,,,3.0,,,,,8.0,100mN27944E44441
169,,,,,,,,14.0,11.0,,,,25.0,100mN27944E44442
170,,,,,,,,3.0,11.0,,,,14.0,100mN27944E44443
171,,,,,3.0,,,,,,,,3.0,100mN27945E44411
172,,,,,3.0,,,,,,,,3.0,100mN27945E44412
173,,,,,4.0,,,,,,,,4.0,100mN27945E44413
174,,,,,3.0,,,,,,,,3.0,100mN27945E44419
175,,,,,171.0,,,,,,,,171.0,100mN27945E44433
176,,,,,34.0,,,27.0,,,,,61.0,100mN27945E44434
177,,,,,,,,84.0,,,,,84.0,100mN27945E44435
178,,,,,4.0,,,22.0,85.0,,,,111.0,100mN27945E44436
179,,,3.0,,6.0,,,,9.0,,,,18.0,100mN27945E44437
180,,,3.0,,11.0,,,,,,,,14.0,100mN27945E44438
181,,,,,60.0,,,,,,,,60.0,100mN27945E44439
182,,,,,23.0,,,12.0,,,,,35.0,100mN27945E44440
183,,,,,31.0,,,6.0,,,,,37.0,100mN27945E44441
184,,,,,38.0,,,11.0,,,,,49.0,100mN27945E44442
185,,,,,4.0,,,26.0,,,,,30.0,100mN27945E44443
186,,,,,,,,8.0,11.0,,,,19.0,100mN27945E44444
187,,,,,27.0,,,,,,,,27.0,100mN27946E44433
188,,,,,34.0,,,,,,,,34.0,100mN27946E44434
189,,,,,111.0,,,,,,,,111.0,100mN27946E44435
190,,,,,4.0,,,,,,,,4.0,100mN27946E44436
191,,3.0,3.0,,5.0,,,,,3.0,,,14.0,100mN27946E44437
192,,,,,57.0,,,,,3.0,,,60.0,100mN27946E44438
193,,,,,75.0,,,,,,,,75.0,100mN27946E44439
194,,,,,13.0,,,14.0,,,,,27.0,100mN27946E44440
195,,,,,41.0,,,3.0,,,,,44.0,100mN27946E44441
196,,,,,18.0,,,33.0,,,,,51.0,100mN27946E44442
197,,,,,,,,77.0,16.0,,,,93.0,100mN27946E44443
198,,,,,,,,18.0,15.0,,,,33.0,100mN27946E44444
199,,,,,,,,3.0,,,,,3.0,100mN27946E44445
200,,,,,4.0,,,,,,,,4.0,100mN27947E44433
201,,,,,3.0,,,,3.0,,,,6.0,100mN27947E44434
202,,,,,17.0,,,,,4.0,3.0,,24.0,100mN27947E44435
203,,,,,17.0,,,3.0,,,,,20.0,100mN27947E44436
204,,,,,30.0,,,3.0,,,,,33.0,100mN27947E44437
205,,,,,17.0,,,,,,,,17.0,100mN27947E44438
206,,,,,98.0,,,,,,,,98.0,100mN27947E44439
207,,,,,32.0,,,9.0,,,,,41.0,100mN27947E44440
208,,,,,3.0,,,4.0,,,,,7.0,100mN27947E44441
209,,,,,3.0,,,8.0,,6.0,,,17.0,100mN27947E44442
210,,,,,,,,6.0,,,,,6.0,100mN27947E44443
211,,,,,,,,5.0,,,,,5.0,100mN27947E44444
212,,,,,3.0,,,,,,,,3.0,100mN27948E44412
213,,,,,7.0,,,,,,,,7.0,100mN27948E44433
214,,,,,14.0,,,,3.0,,,,17.0,100mN27948E44434
215,,,,,16.0,,,8.0,,,,,24.0,100mN27948E44435
216,,,,,5.0,,,6.0,4.0,,,,15.0,100mN27948E44436
217,,,,,5.0,,,,,,,,5.0,100mN27948E44437
218,,,,,8.0,,,,5.0,,,,13.0,100mN27948E44438
219,,,,,8.0,,,12.0,,,,,20.0,100mN27948E44440
220,,,,,4.0,,,12.0,,,,,16.0,100mN27948E44441
221,,,,,,,,5.0,,,,,5.0,100mN27948E44442
222,,,,,6.0,,,12.0,9.0,5.0,,,32.0,100mN27949E44437
223,,,,,4.0,,,8.0,4.0,,,,16.0,100mN27949E44440
