,Gitter_ID_100m,Auspraegung_Code,Auspraegung_Text,Anzahl,Anzahl_q
4125327,100mN27913E44428,3,1949 - 1978,3,0
4156608,100mN27918E44429,2,1919 - 1948,3,0
4175024,100mN27921E44428,3,1949 - 1978,4,0
4175035,100mN27921E44429,1,Vor 1919,3,0
4175036,100mN27921E44429,3,1949 - 1978,4,0
4175037,100mN27921E44429,4,1979 - 1986,6,0
4175038,100mN27921E44429,6,1991 - 1995,3,0
4175039,100mN27921E44429,7,1996 - 2000,3,0
4175040,100mN27921E44429,8,2001 - 2004,3,0
4175067,100mN27921E44430,3,1949 - 1978,4,0
4175068,100mN27921E44430,6,1991 - 1995,3,0
4180648,100mN27922E44429,3,1949 - 1978,5,0
4180649,100mN27922E44429,4,1979 - 1986,3,0
4186656,100mN27923E44429,3,1949 - 1978,7,0
4192562,100mN27924E44429,1,Vor 1919,3,0
4192563,100mN27924E44429,2,1919 - 1948,3,0
4192580,100mN27924E44430,3,1949 - 1978,3,0
4209085,100mN27927E44434,3,1949 - 1978,3,0
4222665,100mN27930E44430,2,1919 - 1948,3,0
4227218,100mN27931E44431,3,1949 - 1978,5,0
4227219,100mN27931E44431,5,1987 - 1990,3,0
4231668,100mN27932E44441,3,1949 - 1978,3,0
4231669,100mN27932E44441,4,1979 - 1986,3,0
4236019,100mN27933E44434,3,1949 - 1978,5,0
4236033,100mN27933E44435,3,1949 - 1978,8,0
4236034,100mN27933E44435,4,1979 - 1986,3,0
4236035,100mN27933E44435,7,1996 - 2000,3,0
4236061,100mN27933E44436,3,1949 - 1978,5,0
4236062,100mN27933E44436,4,1979 - 1986,3,0
4236079,100mN27933E44437,3,1949 - 1978,18,0
4236113,100mN27933E44438,3,1949 - 1978,20,0
4236146,100mN27933E44439,3,1949 - 1978,19,0
4236147,100mN27933E44439,5,1987 - 1990,3,0
4236182,100mN27933E44440,3,1949 - 1978,7,0
4236183,100mN27933E44440,4,1979 - 1986,8,0
4236184,100mN27933E44440,5,1987 - 1990,5,0
4236206,100mN27933E44441,3,1949 - 1978,19,1
4236231,100mN27933E44442,3,1949 - 1978,3,0
4236232,100mN27933E44442,4,1979 - 1986,3,0
4240549,100mN27934E44432,3,1949 - 1978,8,0
4240566,100mN27934E44433,3,1949 - 1978,15,0
4240567,100mN27934E44433,4,1979 - 1986,5,0
4240568,100mN27934E44433,6,1991 - 1995,4,0
4240599,100mN27934E44434,3,1949 - 1978,16,0
4240628,100mN27934E44435,3,1949 - 1978,12,0
4240629,100mN27934E44435,5,1987 - 1990,4,0
4240630,100mN27934E44435,7,1996 - 2000,3,0
4240631,100mN27934E44435,10,2009 und später,3,0
4240663,100mN27934E44436,3,1949 - 1978,14,0
4240664,100mN27934E44436,5,1987 - 1990,3,0
4240689,100mN27934E44437,3,1949 - 1978,21,0
4240690,100mN27934E44437,4,1979 - 1986,5,0
4240721,100mN27934E44438,3,1949 - 1978,35,1
4240722,100mN27934E44438,4,1979 - 1986,9,1
4240753,100mN27934E44439,3,1949 - 1978,64,1
4240779,100mN27934E44440,3,1949 - 1978,12,0
4240780,100mN27934E44440,4,1979 - 1986,4,0
4240781,100mN27934E44440,5,1987 - 1990,3,0
4240810,100mN27934E44441,3,1949 - 1978,19,0
4240811,100mN27934E44441,4,1979 - 1986,7,0
4240842,100mN27934E44442,3,1949 - 1978,11,0
4245726,100mN27935E44431,3,1949 - 1978,7,0
4245747,100mN27935E44432,3,1949 - 1978,8,0
4245748,100mN27935E44432,4,1979 - 1986,4,0
4245749,100mN27935E44432,5,1987 - 1990,3,0
4245750,100mN27935E44432,7,1996 - 2000,4,0
4245780,100mN27935E44433,3,1949 - 1978,20,0
4245781,100mN27935E44433,6,1991 - 1995,3,0
4245811,100mN27935E44434,3,1949 - 1978,22,0
4245812,100mN27935E44434,4,1979 - 1986,3,0
4245813,100mN27935E44434,6,1991 - 1995,5,0
4245814,100mN27935E44434,7,1996 - 2000,8,0
4245815,100mN27935E44434,8,2001 - 2004,3,0
4245848,100mN27935E44435,3,1949 - 1978,16,0
4245849,100mN27935E44435,4,1979 - 1986,3,0
4245850,100mN27935E44435,7,1996 - 2000,3,0
4245881,100mN27935E44436,3,1949 - 1978,7,0
4245882,100mN27935E44436,7,1996 - 2000,3,0
4245883,100mN27935E44436,8,2001 - 2004,3,0
4245884,100mN27935E44436,9,2005 - 2008,3,0
4245907,100mN27935E44437,3,1949 - 1978,13,0
4245908,100mN27935E44437,7,1996 - 2000,4,0
4245938,100mN27935E44438,3,1949 - 1978,5,0
4245939,100mN27935E44438,5,1987 - 1990,3,0
4245965,100mN27935E44439,3,1949 - 1978,31,0
4245966,100mN27935E44439,4,1979 - 1986,5,0
4245995,100mN27935E44440,3,1949 - 1978,22,1
4245996,100mN27935E44440,4,1979 - 1986,29,1
4246031,100mN27935E44441,3,1949 - 1978,15,0
4246032,100mN27935E44441,4,1979 - 1986,34,0
4246071,100mN27935E44442,1,Vor 1919,3,0
4246072,100mN27935E44442,3,1949 - 1978,14,0
4251473,100mN27936E44431,3,1949 - 1978,11,0
4251474,100mN27936E44431,4,1979 - 1986,3,0
4251475,100mN27936E44431,7,1996 - 2000,4,0
4251506,100mN27936E44432,3,1949 - 1978,12,0
4251507,100mN27936E44432,7,1996 - 2000,3,0
4251529,100mN27936E44433,3,1949 - 1978,3,0
4251530,100mN27936E44433,8,2001 - 2004,8,0
4251548,100mN27936E44434,3,1949 - 1978,7,0
4251549,100mN27936E44434,4,1979 - 1986,6,0
4251550,100mN27936E44434,8,2001 - 2004,6,0
4251584,100mN27936E44435,3,1949 - 1978,9,0
4251585,100mN27936E44435,6,1991 - 1995,5,0
4251586,100mN27936E44435,7,1996 - 2000,4,0
