code;building_type;building_descr;age_code;age_descr;neighbouring_buildings;n_floors;n_housing_units;n_air_inflitration;attic;heated_attic;cellar;cellar_heated;dormer_windows;netto_area;heated_area;heated_volume;floor_height_std;floor_height_alt;floor_height;p_normal_ref;p_advanced_ref
SFH_A;SFH;single family house;A;... 1859;0;2;1;0.2;1;1;1;0;0;245.6;199;767.6;3.125;2.7777778;3.125;1E-6;1E-6
SFH_B;SFH;single family house;B;1860 ... 1918;0;2;1;0.2;1;1;1;0;1;190.4;128.9;595;3.125;2.7777778;3.125;1E-6;1E-6
SFH_C;SFH;single family house;C;1919 ... 1948;0;2;2;0.2;1;1;1;0;1;336.8;275;1052.5;3.125;2.7777778;3.125;1E-6;1E-6
SFH_D;SFH;single family house;D;1949 ... 1957;0;1;1;0.2;1;1;1;0;0;121.6;101;380;3.125;2.7777778;3.125;1E-6;1E-6
SFH_E;SFH;single family house;E;1958 ... 1968;0;1;1;0.2;1;1;1;0;0;160.9;110.2;502.9;3.126;2.7782075;3.125;1E-6;1E-6
SFH_F;SFH;single family house;F;1969 ... 1978;0;1;1;0.2;0;0;1;0;0;193.9;157.5;606;3.125;2.7777778;3.125;1E-6;1E-6
SFH_G;SFH;single family house;G;1979 ... 1983;1;2;1;0.2;1;1;1;0;0;207;196;647;3.125;2.7777778;3.125;1E-6;1E-6
SFH_H;SFH;single family house;H;1984 ... 1994;1;1;1;0.2;1;1;1;0;1;164.5;136.6;514;3.125;2.7777778;3.125;1E-6;1E-6
SFH_I;SFH;single family house;I;1995 ... 2001;0;1;1;0.2;1;1;1;0;0;136.7;110.8;427.3;3.125;2.7777778;3.125;1E-6;1E-6
SFH_J;SFH;single family house;J;2002 ... 2009;0;2;1;0.1;1;1;1;0;0;153.3;133.2;478.9;3.125;2.7777778;3.125;1E-6;1E-6
SFH_K;SFH;single family house;K;2010 ... 2015;0;2;1;0.2;1;1;0;0;0;264.7;160.4;827.1;3.125;2.7775166;3.125;1E-6;1E-6
SFH_L;SFH;single family house;L;2016 ...;0;2;1;0.2;1;1;0;0;0;264.7;160.4;827.1;3.125;2.7775166;3.125;1E-6;1E-6
TH_B;TH;terraced house;B;1860 ... 1918;2;2;1;0.2;1;0;1;1;0;110.2;87.2;390;3.539;3.1;3.1;1E-6;1E-6
TH_C;TH;terraced house;C;1919 ... 1948;2;2;1;0.2;1;0;1;0;0;135.4;102.5;423.2;3.125;2.7777778;3.125;1E-6;1E-6
TH_D;TH;terraced house;D;1949 ... 1957;1;2;1;0.2;0;0;0;0;0;150;136;468.6;3.125;2.7777778;3.125;1E-6;1E-6
TH_E;TH;terraced house;E;1958 ... 1968;2;2;1;0.2;0;0;0;0;0;119.7;106.7;374.2;3.125;2.7777778;3.125;1E-6;1E-6
TH_F;TH;terraced house;F;1969 ... 1978;2;2;1;0.2;1;0;1;0;0;107.2;96.6;335;3.125;2.7777778;3.125;1E-6;1E-6
TH_G;TH;terraced house;G;1979 ... 1983;2;2;1;0.2;1;0;1;0;1;131;98.4;409.4;3.125;2.7777778;3.125;1E-6;1E-6
TH_H;TH;terraced house;H;1984 ... 1994;1;2;1;0.2;1;1;1;1;0;134.7;116;421;3.125;2.7777778;3.125;1E-6;1E-6
TH_I;TH;terraced house;I;1995 ... 2001;2;2;1;0.2;1;1;1;0;0;158.4;135.3;495;3.125;2.7777778;3.125;1E-6;1E-6
TH_J;TH;terraced house;J;2002 ... 2009;1;2;1;0.1;1;1;1;1;0;154.6;138.1;483;3.125;2.7777778;3.125;1E-6;1E-6
TH_K;TH;terraced house;K;2010 ... 2015;1;2;1;0.2;1;1;1;1;0;239;167.5;747;3.126;2.778191;3.125;1E-6;1E-6
TH_L;TH;terraced house;L;2016 ...;1;2;1;0.2;1;1;1;1;0;239;167.5;747;3.126;2.778191;3.125;1E-6;1E-6
MFH_A;MFH;multi family house;A;... 1859;0;4;5;0.2;1;1;1;0;1;796.2;615.9;2488;3.125;2.7777778;3.125;1E-6;1E-6
MFH_B;MFH;multi family house;B;1860 ... 1918;2;4;4;0.2;1;0;1;1;0;370.6;284;1360;3.67;3.2;3.2;1E-6;1E-6
MFH_C;MFH;multi family house;C;1919 ... 1948;0;3;2;0.2;1;1;1;1;0;374.7;350;1171;3.125;2.7777778;3.125;1E-6;1E-6
MFH_D;MFH;multi family house;D;1949 ... 1957;0;3;9;0.2;1;0;1;0;0;614.1;574.8;1919.2;3.125;2.7777778;3.125;1E-6;1E-6
MFH_E;MFH;multi family house;E;1958 ... 1968;1;4;32;0.2;1;0;1;0;0;3327;2844.6;10397;3.125;2.7777778;3.125;1E-6;1E-6
MFH_F;MFH;multi family house;F;1969 ... 1978;0;4;8;0.2;1;0;1;0;0;459.2;426;1435;3.125;2.7777778;3.125;1E-6;1E-6
MFH_G;MFH;multi family house;G;1979 ... 1983;0;3;9;0.2;1;0;1;0;0;652.8;594.5;2040;3.125;2.7777778;3.125;1E-6;1E-6
MFH_H;MFH;multi family house;H;1984 ... 1994;0;3;10;0.2;1;0;1;0;0;772.2;707.4;2413;3.125;2.7777778;3.125;1E-6;1E-6
MFH_I;MFH;multi family house;I;1995 ... 2001;1;4;12;0.2;1;0;1;0;0;951;759;2971.9;3.125;2.7777778;3.125;1E-6;1E-6
MFH_J;MFH;multi family house;J;2002 ... 2009;1;3;19;0.1;1;0;1;0;0;2459.8;1991;7687;3.125;2.7777778;3.125;1E-6;1E-6
MFH_K;MFH;multi family house;K;2010 ... 2015;0;5;17;0.2;0;0;0;0;0;1458;1219;5371.1;3.684;3.2107596;3.211;1E-6;1E-6
MFH_L;MFH;multi family house;L;2016 ...;0;5;17;0.2;0;0;0;0;0;1458;1219;5371.1;3.684;3.2107596;3.211;1E-6;1E-6
AB_B;AB;apartment block;B;1860 ... 1918;2;5;11;0.2;1;1;1;0;1;982.7;754;3375.4;3.435;3.02;3.02;1E-6;1E-6
AB_C;AB;apartment block;C;1919 ... 1948;1;5;15;0.2;1;0;1;0;0;1679.1;1349.1;5942;3.539;3.1;3.1;1E-6;1E-6
AB_D;AB;apartment block;D;1949 ... 1957;0;5;20;0.2;0;0;0;0;0;1538.6;1457;4808;3.125;2.7777778;3.125;1E-6;1E-6
AB_E;AB;apartment block;E;1958 ... 1968;0;8;48;0.2;1;0;1;0;0;4213;3534;13165.7;3.125;2.7777778;3.125;1E-6;1E-6
AB_F;AB;apartment block;F;1969 ... 1978;0;8;48;0.2;0;0;0;0;0;3137.6;3020;9805;3.125;2.7777778;3.125;1E-6;1E-6
HR_E;HR;apartment block;E;1958 ... 1968;0;16;189;0.2;0;0;0;0;0;11641.3;10408;36379;3.125;2.7777778;3.125;1E-6;1E-6
