;NWG_G1;NWG_G2;NWG_1;NWG_2;NWG_3;NWG_4;NWG_5;NWG_6;NWG_7;NWG_8;NWG_9;NWG_10;NWG_11;SFH;MFH;TH;AB;HR
A;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
B;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2
C;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
D;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4
E;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5
F;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6
G;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;7
H;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;8
I;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;9
J;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10
K;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;11
L;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;11
KfW55;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;11
