;A;B;C;D;E;F;G;H;I;J;K;L;KfW55
NWG_G1;153.7644647;153.7644647;153.7644647;153.7644647;153.7644647;153.7644647;100.0774561;100.0774561;100.0774561;100.0774561;63.65356117;63.65356117;0
NWG_G2;66.70989719;66.70989719;66.70989719;66.70989719;66.70989719;66.70989719;31.470393;31.470393;31.470393;31.470393;12.73469176;12.73469176;0
NWG_1;107.6037887;107.6037887;107.6037887;107.6037887;107.6037887;107.6037887;64.64464053;64.64464053;64.64464053;64.64464053;26.67152953;26.67152953;0
NWG_2;327.5738044;327.5738044;327.5738044;327.5738044;327.5738044;327.5738044;272.5174639;272.5174639;272.5174639;272.5174639;63.8980747;63.8980747;0
NWG_3;143.3133864;143.3133864;143.3133864;143.3133864;143.3133864;143.3133864;117.6340224;117.6340224;117.6340224;117.6340224;81.89213464;81.89213464;0
NWG_4;192.5613339;192.5613339;192.5613339;192.5613339;192.5613339;192.5613339;161.2783024;161.2783024;161.2783024;161.2783024;129.1953618;129.1953618;0
NWG_5;177.3035828;177.3035828;177.3035828;177.3035828;177.3035828;177.3035828;120.1635359;120.1635359;120.1635359;120.1635359;28.88458684;28.88458684;0
NWG_6;230.5928566;230.5928566;230.5928566;230.5928566;230.5928566;230.5928566;87.53279654;87.53279654;87.53279654;87.53279654;38.96612168;38.96612168;0
NWG_7;193.3292053;193.3292053;193.3292053;193.3292053;193.3292053;193.3292053;99.24694032;99.24694032;99.24694032;99.24694032;43.3391552;43.3391552;0
NWG_8;54.60114661;54.60114661;54.60114661;54.60114661;54.60114661;54.60114661;23.0824921;23.0824921;23.0824921;23.0824921;9.868526374;9.868526374;0
NWG_9;103.3928207;103.3928207;103.3928207;103.3928207;103.3928207;103.3928207;77.73003175;77.73003175;77.73003175;77.73003175;54.79061729;54.79061729;0
NWG_10;289.7796308;289.7796308;289.7796308;289.7796308;289.7796308;289.7796308;153.2286381;153.2286381;153.2286381;153.2286381;0;0;0
NWG_11;518.7601544;518.7601544;518.7601544;518.7601544;518.7601544;518.7601544;330.0071433;330.0071433;330.0071433;330.0071433;273.496623;273.496623;0
SFH;167.3;164.5;148.9;165.3;163.4;139.5;108.9;120.4;110.5;78.7;82.7;70.8;35
MFH;172;131.5;151.3;140.3;115.5;119.4;104.8;108.1;91.1;58;73.5;74.3;35
TH;0;141.2;122.5;138.5;94.4;112.5;113;86.3;78.8;70.3;71.2;60.6;35
AB;0;111.9;129.2;127.7;116.9;104.2;0;0;0;0;0;0;0
HR;0;0;0;0;100.4;101.1;0;0;0;0;0;0;0
